Symbol,Ex-Dividend Date
AAPL,2019-02-08
AAPL,2019-05-10
AAPL,2019-08-09
AAPL,2019-11-07
AAPL,2020-02-07
AAPL,2020-05-08
AAPL,2020-08-07
AAPL,2020-11-06
AAPL,2021-02-05
AAPL,2021-05-07
AAPL,2021-08-06
AAPL,2021-11-05
AAPL,2022-02-04
AAPL,2022-05-06
AAPL,2022-08-05
AAPL,2022-11-04
AAPL,2023-02-10
AAPL,2023-05-12
AAPL,2023-08-11
AAPL,2023-11-10
AMAT,2019-02-20
AMAT,2019-05-22
AMAT,2019-08-21
AMAT,2019-11-20
AMAT,2020-02-18
AMAT,2020-05-20
AMAT,2020-08-19
AMAT,2020-11-18
AMAT,2021-02-24
AMAT,2021-05-26
AMAT,2021-08-25
AMAT,2021-11-24
AMAT,2022-02-22
AMAT,2022-05-25
AMAT,2022-08-24
AMAT,2022-11-23
AMAT,2023-02-22
AMAT,2023-05-24
AMAT,2023-08-23
AMAT,2023-11-22
ENTG,2019-01-29
ENTG,2019-04-30
ENTG,2019-07-30
ENTG,2019-10-29
ENTG,2020-01-28
ENTG,2020-04-28
ENTG,2020-07-28
ENTG,2020-10-27
ENTG,2021-01-26
ENTG,2021-04-27
ENTG,2021-07-27
ENTG,2021-10-26
ENTG,2022-02-01
ENTG,2022-05-03
ENTG,2022-08-02
ENTG,2022-11-01
ENTG,2023-01-31
ENTG,2023-05-02
ENTG,2023-08-01
ENTG,2023-10-31
INTU,2019-01-09
INTU,2019-04-09
INTU,2019-07-09
INTU,2019-10-09
INTU,2020-01-09
INTU,2020-04-09
INTU,2020-07-09
INTU,2020-10-08
INTU,2021-01-08
INTU,2021-04-09
INTU,2021-07-09
INTU,2021-10-07
INTU,2022-01-07
INTU,2022-04-08
INTU,2022-07-08
INTU,2022-10-06
INTU,2023-01-09
INTU,2023-04-06
INTU,2023-07-07
INTU,2023-10-05
KLAC,2019-02-14
KLAC,2019-05-14
KLAC,2019-08-14
KLAC,2019-11-15
KLAC,2020-02-20
KLAC,2020-05-15
KLAC,2020-08-14
KLAC,2020-11-13
KLAC,2021-02-18
KLAC,2021-05-14
KLAC,2021-08-13
KLAC,2021-11-12
KLAC,2022-02-11
KLAC,2022-05-13
KLAC,2022-08-12
KLAC,2022-11-14
KLAC,2023-02-10
KLAC,2023-05-12
KLAC,2023-08-14
KLAC,2023-11-14
LRCX,2019-03-19
LRCX,2019-06-11
LRCX,2019-09-30
LRCX,2019-12-10
LRCX,2020-03-24
LRCX,2020-06-16
LRCX,2020-09-29
LRCX,2020-12-08
LRCX,2021-03-16
LRCX,2021-06-15
LRCX,2021-09-27
LRCX,2021-12-14
LRCX,2022-03-15
LRCX,2022-06-14
LRCX,2022-09-13
LRCX,2022-12-13
LRCX,2023-03-14
LRCX,2023-06-13
LRCX,2023-09-12
LRCX,2023-12-12
MKTX,2019-02-12
MKTX,2019-05-07
MKTX,2019-08-06
MKTX,2019-11-05
MKTX,2020-02-11
MKTX,2020-05-12
MKTX,2020-08-04
MKTX,2020-11-09
MKTX,2021-02-09
MKTX,2021-05-11
MKTX,2021-08-03
MKTX,2021-11-02
MKTX,2022-02-08
MKTX,2022-05-03
MKTX,2022-08-02
MKTX,2022-11-01
MKTX,2023-02-07
MKTX,2023-05-09
MKTX,2023-08-01
MKTX,2023-11-07
MPWR,2019-03-28
MPWR,2019-06-27
MPWR,2019-09-27
MPWR,2019-12-30
MPWR,2020-03-30
MPWR,2020-06-29
MPWR,2020-09-29
MPWR,2020-12-30
MPWR,2021-03-30
MPWR,2021-06-29
MPWR,2021-09-29
MPWR,2021-12-30
MPWR,2022-03-30
MPWR,2022-06-29
MPWR,2022-09-29
MPWR,2022-12-29
MPWR,2023-03-30
MPWR,2023-06-29
MPWR,2023-09-28
MPWR,2023-12-28
MRVL,2019-04-02
MRVL,2019-07-11
MRVL,2019-10-09
MRVL,2019-12-24
MRVL,2020-04-02
MRVL,2020-07-10
MRVL,2020-10-08
MRVL,2020-12-22
MRVL,2021-04-08
MRVL,2021-07-08
MRVL,2021-10-07
MRVL,2022-01-06
MRVL,2022-04-07
MRVL,2022-07-07
MRVL,2022-10-06
MRVL,2023-01-05
MRVL,2023-04-05
MRVL,2023-07-06
MRVL,2023-10-05
MSFT,2019-02-20
MSFT,2019-05-15
MSFT,2019-08-14
MSFT,2019-11-20
MSFT,2020-02-19
MSFT,2020-05-20
MSFT,2020-08-19
MSFT,2020-11-18
MSFT,2021-02-17
MSFT,2021-05-19
MSFT,2021-08-18
MSFT,2021-11-17
MSFT,2022-02-16
MSFT,2022-05-18
MSFT,2022-08-17
MSFT,2022-11-16
MSFT,2023-02-15
MSFT,2023-05-17
MSFT,2023-08-16
MSFT,2023-11-15
NTAP,2019-01-03
NTAP,2019-04-04
NTAP,2019-07-03
NTAP,2019-10-03
NTAP,2020-01-02
NTAP,2020-04-02
NTAP,2020-07-09
NTAP,2020-10-08
NTAP,2021-01-07
NTAP,2021-04-08
NTAP,2021-07-08
NTAP,2021-10-07
NTAP,2022-01-06
NTAP,2022-04-07
NTAP,2022-07-07
NTAP,2022-10-06
NTAP,2023-01-05
NTAP,2023-04-05
NTAP,2023-07-06
NTAP,2023-10-05
NVDA,2019-02-28
NVDA,2019-05-30
NVDA,2019-08-28
NVDA,2019-11-27
NVDA,2020-02-27
NVDA,2020-06-04
NVDA,2020-09-01
NVDA,2020-12-03
NVDA,2021-03-09
NVDA,2021-06-09
NVDA,2021-08-31
NVDA,2021-12-01
NVDA,2022-03-02
NVDA,2022-06-08
NVDA,2022-09-07
NVDA,2022-11-30
NVDA,2023-03-07
NVDA,2023-06-07
NVDA,2023-09-06
NVDA,2023-12-05
POOL,2019-03-13
POOL,2019-05-16
POOL,2019-08-14
POOL,2019-11-13
POOL,2020-03-11
POOL,2020-05-14
POOL,2020-08-12
POOL,2020-11-10
POOL,2021-03-10
POOL,2021-05-14
POOL,2021-08-11
POOL,2021-11-09
POOL,2022-03-09
POOL,2022-05-13
POOL,2022-08-10
POOL,2022-11-09
POOL,2023-03-14
POOL,2023-05-16
POOL,2023-08-09
POOL,2023-11-07
ROST,2019-03-15
ROST,2019-06-10
ROST,2019-09-11
ROST,2019-12-05
ROST,2020-03-16
ROST,2021-03-15
ROST,2021-06-07
ROST,2021-09-03
ROST,2021-12-06
ROST,2022-03-14
ROST,2022-06-06
ROST,2022-09-02
ROST,2022-12-05
ROST,2023-03-13
ROST,2023-06-05
ROST,2023-09-01
ROST,2023-12-04
SBAC,2019-08-27
SBAC,2019-11-20
SBAC,2020-03-09
SBAC,2020-05-27
SBAC,2020-08-24
SBAC,2020-11-18
SBAC,2021-03-09
SBAC,2021-05-19
SBAC,2021-08-25
SBAC,2021-11-17
SBAC,2022-03-09
SBAC,2022-05-18
SBAC,2022-08-24
SBAC,2022-11-16
SBAC,2023-03-09
SBAC,2023-05-25
SBAC,2023-08-23
SBAC,2023-11-15
